Region	Population	Ndays	Country	GDP_per_capita_PPP	a	K2	q	Io	R2
Asia excl. Middle East	38928341	250	Afghanistan	2078.6	0.1791	5.30	1440	1.65	0.99868
Eastern Europe	2877800	100	Albania	13439.7	0.2117	20.61	22295	5.36	0.99311
North Africa & Middle East	43851043	275	Algeria	11324.2	0.1311	20.22	1328	2.85	0.98869
Africa excl. North	32866268	325	Angola	6445.4	0.1333	7.63	4025	1.18	0.99735
Central & South America USA	45195777	300	Argentina	20770.7	0.1283	9.45	0.95	21.4	0.99953
Eastern Europe	2963234	200	Armenia	13312.1	0.1509	8.97	6.09	30	0.99934
Western Europe & British Cmlth	25499881	175	Australia	53329.8	0.2858	7.24	24161	0.01	0.97934
Western Europe & British Cmlth	9006400	200	Austria	55683.8	0.2942	5.25	460.6	21	0.99496
Eastern Europe	10139175	225	Azerbaijan	14479.7	0.1503	7.46	91.6	3.25	0.99866
Central & South America USA	393248	350	Bahamas	32538.6	0.1441	5.99	3.36	21.7	0.99600
North Africa & Middle East	1701583	200	Bahrain	43755.9	0.1443	21.23	2.21	35.6	0.99973
Asia excl. Middle East	164689383	250	Bangladesh	5138.7	0.1394	10.89	330.6	11.5	0.99943
Eastern Europe	9449321	250	Belarus	20239.2	0.1838	7.45	31.3	10.2	0.99566
Western Europe & British Cmlth	11589616	200	Belgium	53035	0.2153	7.10	58	36	0.99701
Central & South America USA	397621	100	Belize	6457.6	0.1838	30.11	76.1	284	0.99849
Africa excl. North	12123198	250	Benin	3505.4	0.1486	7.79	35813	3.05	0.99272
Central & South America USA	11673029	300	Bolivia	8275.5	0.1508	7.23	10.6	10.5	0.99300
Eastern Europe	3280815	100	Bosnia and Herzegovina	15623.1	0.1852	17.08	2974	13.9	0.99588
Africa excl. North	2351625	275	Botswana	15458.5	0.1260	12.35	21.5	3.43	0.99745
Central & South America USA	212559409	300	Brazil	14835.4	0.1371	15.36	3.21	36.6	0.99911
Eastern Europe	6948445	200	Bulgaria	24613.8	0.1282	8.74	115	11.8	0.99612
Africa excl. North	20903278	200	Burkina Faso	2274	0.2193	7.71	886930	1.1	0.98783
Africa excl. North	11890781	200	Burundi	771.2	0.1472	8.73	802190	0.25	0.99332
Africa excl. North	26545864	300	Cameroon	3867.5	0.1451	6.55	2369	5.29	0.99858
Western Europe & British Cmlth	37742157	200	Canada	46611.3	0.1696	8.19	175.8	32.4	0.99907
Africa excl. North	555988	300	Cape Verde	6376.6	0.1189	11.74	2.31	133	0.99839
Africa excl. North	4829764	375	Central African Republic	987.6	0.1897	3.23	1258	1.41	0.99656
Africa excl. North	16425859	200	Chad	1602.4	0.2422	5.97	495020	0.14	0.99672
Central & South America USA	19116209	200	Chile	25110.2	0.1646	10.05	3.77	22.6	0.99991
Asia excl. Middle East	1439323774	200	China	17210.8	0.2902	2.67	378370	1	0.99460
Central & South America USA	50882884	300	Colombia	14931	0.1451	20.84	5.84	5.72	0.99971
Africa excl. North	869595	200	Comoros	3153.1	0.1555	8.59	5493	16.6	0.99606
Africa excl. North	5518092	250	Congo	3622.3	0.1403	6.28	1437	4.28	0.99486
Central & South America USA	5094114	300	Costa Rica	22132.5	0.1340	22.51	2.64	10.2	0.99973
Africa excl. North	26378275	300	Cote d'Ivoire	5465.5	0.1511	5.45	2428	1.56	0.99764
Western Europe & British Cmlth	4105268	125	Croatia	28841.7	0.2634	7.64	5814	2.45	0.98218
Central & South America USA	11326616	150	Cuba	9478	0.2109	8.46	42320	2.65	0.99399
