Country	Aglomerative_eucl_5	Aglomerative_eucl_9	Aglomerative_eucl_10
Afghanistan	0	8	9
Albania	0	6	8
Algeria	2	6	8
Angola	0	8	9
Argentina	4	2	5
Armenia	4	2	5
Australia	1	0	3
Austria	1	0	3
Azerbaijan	4	1	1
Bahamas	4	2	5
Bahrain	2	4	7
Bangladesh	0	1	1
Belarus	4	1	1
Belgium	1	7	6
Belize	2	5	4
Benin	0	8	9
Bolivia	4	1	5
Bosnia and Herzegovina	0	6	8
Botswana	4	2	5
Brazil	4	2	5
Bulgaria	4	1	1
Cameroon	0	8	9
Canada	4	7	6
Cape Verde	4	2	5
Central African Republic	0	8	9
Chile	4	2	5
Colombia	2	4	7
Comoros	0	8	9
Congo	0	8	9
Costa Rica	2	4	7
Cote d'Ivoire	0	8	9
Croatia	1	0	3
Cuba	0	8	9
Cyprus	1	0	6
Czechia	1	0	6
Denmark	4	7	6
Djibouti	4	1	1
Dominican Republic	4	2	5
Ecuador	2	4	7
Egypt	0	8	9
El Salvador	4	1	1
Equatorial Guinea	4	1	1
Estonia	1	0	6
Eswatini	4	1	1
Ethiopia	0	8	9
Finland	1	7	6
France	1	0	3
Gabon	4	1	1
Gambia	0	8	9
Georgia	4	2	5
Germany	1	7	6
Ghana	0	8	9
Greece	4	2	5
Guatemala	4	1	1
Guinea	0	8	9
Guinea-Bissau	0	8	9
Guyana	4	2	5
Haiti	0	8	9
Honduras	4	2	5
Hungary	0	8	9
Iceland	1	0	3
India	4	1	1
Indonesia	4	1	1
Iran	2	6	8
Iraq	4	2	5
Ireland	3	7	2
Israel	1	0	6
Italy	4	7	6
Jamaica	4	1	1
Jordan	4	2	5
Kazakhstan	4	1	1
Kenya	0	6	8
Kosovo	4	2	5
Kuwait	2	4	7
Kyrgyzstan	4	1	1
Latvia	0	8	9
Lebanon	2	5	4
Lesotho	0	8	9
Liberia	0	8	9
Libya	2	4	7
Liechtenstein	3	3	0
Lithuania	1	0	3
Luxembourg	3	3	0
Madagascar	0	8	9
Malawi	0	8	9
Malaysia	0	8	9
Maldives	1	0	6
Malta	4	7	6
Mauritania	0	8	9
Mauritius	1	0	3
Mexico	2	4	7
Moldova	2	5	4
Monaco	3	3	0
Montenegro	1	0	3
Morocco	0	6	8
Mozambique	0	6	8
Myanmar	4	1	1
Namibia	4	1	1
Nepal	0	6	8
Netherlands	1	7	6
New Zealand	1	0	3
Nicaragua	0	8	9
Nigeria	0	8	9
North Macedonia	2	4	7
Norway	1	7	6
Oman	4	2	5
Pakistan	0	8	9
Palestine	2	5	4
Panama	2	4	7
Paraguay	2	4	7
Peru	2	4	7
Philippines	4	1	1
Poland	4	2	5
Portugal	4	1	1
Qatar	4	7	2
Romania	2	6	8
Russia	4	2	5
Rwanda	0	6	8
Saint Lucia	1	0	3
San Marino	4	7	2
Sao Tome and Principe	4	1	1
Saudi Arabia	4	7	2
Senegal	0	8	9
Serbia	1	0	3
Sierra Leone	0	8	9
Singapore	3	7	2
Slovakia	2	4	7
Slovenia	1	0	3
Somalia	0	8	9
South Africa	4	1	1
South Korea	1	0	3
South Sudan	0	8	9
Spain	1	0	3
Sudan	0	8	9
Suriname	4	1	1
Sweden	4	7	2
Switzerland	1	7	6
Syria	0	6	8
Tajikistan	0	8	9
Togo	0	6	8
Trinidad and Tobago	4	1	1
Turkey	4	1	1
Ukraine	2	4	7
United Arab Emirates	4	7	2
United Kingdom	4	7	6
United States	2	7	6
Uruguay	0	6	8
Uzbekistan	4	1	1
Venezuela	4	1	1
Zambia	0	8	9
Zimbabwe	0	8	9
