Country	Kmeans_eucl_6	Kmeans_eucl_7	Kmeans_eucl_8	Kmeans_eucl_9	Kmeans_eucl_10
Afghanistan	3	3	0	8	9
Albania	3	6	4	6	8
Algeria	3	6	4	6	8
Angola	3	3	0	8	9
Argentina	0	1	3	2	5
Armenia	0	1	3	2	5
Australia	5	2	6	0	3
Austria	5	2	6	0	3
Azerbaijan	0	1	3	1	1
Bahamas	0	1	3	2	5
Bahrain	2	0	1	4	7
Bangladesh	3	1	0	1	1
Belarus	0	1	3	1	1
Belgium	1	4	5	7	6
Belize	2	0	7	5	4
Benin	3	3	0	8	9
Bolivia	0	1	3	1	5
Bosnia and Herzegovina	3	6	4	6	8
Botswana	0	1	3	2	5
Brazil	0	1	1	2	5
Bulgaria	0	1	3	1	1
Cameroon	3	3	0	8	9
Canada	1	4	5	7	6
Cape Verde	0	1	3	2	5
Central African Republic	3	3	0	8	9
Chile	0	1	3	2	5
Colombia	2	0	1	4	7
Comoros	3	3	0	8	9
Congo	3	3	0	8	9
Costa Rica	2	0	1	4	7
Cote d'Ivoire	3	3	0	8	9
Croatia	5	2	6	0	3
Cuba	3	3	0	8	9
Cyprus	5	2	6	0	6
Czechia	5	2	6	0	6
Denmark	1	4	5	7	6
Djibouti	0	1	3	1	1
Dominican Republic	0	1	3	2	5
Ecuador	2	0	1	4	7
Egypt	3	3	0	8	9
El Salvador	0	1	3	1	1
Equatorial Guinea	0	1	3	1	1
Estonia	5	2	6	0	6
Eswatini	0	1	3	1	1
Ethiopia	3	3	0	8	9
Finland	1	4	5	7	6
France	5	2	6	0	3
Gabon	0	1	3	1	1
Gambia	3	3	0	8	9
Georgia	0	1	3	2	5
Germany	1	4	5	7	6
Ghana	3	3	0	8	9
Greece	0	1	3	2	5
Guatemala	0	1	3	1	1
Guinea	3	3	0	8	9
Guinea-Bissau	3	3	0	8	9
Guyana	0	1	1	2	5
Haiti	3	3	0	8	9
Honduras	0	1	3	2	5
Hungary	3	3	0	8	9
Iceland	5	2	6	0	3
India	0	1	3	1	1
Indonesia	0	1	3	1	1
Iran	3	6	4	6	8
Iraq	0	1	3	2	5
Ireland	1	4	5	7	2
Israel	5	2	6	0	6
Italy	1	4	5	7	6
Jamaica	0	1	3	1	1
Jordan	0	1	3	2	5
Kazakhstan	0	1	3	1	1
Kenya	3	6	4	6	8
Kosovo	0	1	1	2	5
Kuwait	2	0	1	4	7
Kyrgyzstan	0	1	3	1	1
Latvia	3	3	0	8	9
Lebanon	2	0	7	5	4
Lesotho	3	3	0	8	9
Liberia	3	3	0	8	9
Libya	2	0	1	4	7
Liechtenstein	4	5	2	3	0
Lithuania	5	2	6	0	3
Luxembourg	4	5	2	3	0
Madagascar	3	3	0	8	9
Malawi	3	3	0	8	9
Malaysia	3	3	0	8	9
Maldives	5	2	6	0	6
Malta	1	4	5	7	6
Mauritania	3	3	0	8	9
Mauritius	5	2	6	0	3
Mexico	2	0	1	4	7
Moldova	2	0	7	5	4
Monaco	4	5	2	3	0
Montenegro	5	2	6	0	3
Morocco	3	6	4	6	8
Mozambique	3	6	4	6	8
Myanmar	0	1	3	1	1
Namibia	0	1	3	1	1
Nepal	3	6	4	6	8
Netherlands	1	4	5	7	6
New Zealand	5	2	6	0	3
Nicaragua	3	3	0	8	9
Nigeria	3	3	0	8	9
North Macedonia	2	0	1	4	7
Norway	1	4	5	7	6
Oman	0	1	3	2	5
Pakistan	3	3	0	8	9
Palestine	2	0	7	5	4
Panama	2	0	1	4	7
Paraguay	2	0	1	4	7
Peru	2	0	1	4	7
Philippines	0	1	3	1	1
Poland	0	1	3	2	5
Portugal	0	1	3	1	1
Qatar	1	4	5	7	2
Romania	3	6	4	6	8
Russia	0	1	3	2	5
Rwanda	3	6	4	6	8
Saint Lucia	5	2	6	0	3
San Marino	1	4	5	7	2
Sao Tome and Principe	0	1	3	1	1
Saudi Arabia	0	1	3	7	2
Senegal	3	3	0	8	9
Serbia	5	2	6	0	3
Sierra Leone	3	3	0	8	9
Singapore	1	4	5	7	2
Slovakia	2	0	1	4	7
Slovenia	5	2	6	0	3
Somalia	3	3	0	8	9
South Africa	0	1	3	1	1
South Korea	5	2	6	0	3
South Sudan	3	3	0	8	9
Spain	5	2	6	0	3
Sudan	3	3	0	8	9
Suriname	0	1	3	1	1
Sweden	1	4	5	7	2
Switzerland	1	4	5	7	6
Syria	3	6	4	6	8
Tajikistan	3	3	0	8	9
Togo	3	6	4	6	8
Trinidad and Tobago	0	1	3	1	1
Turkey	0	1	3	1	1
Ukraine	2	0	1	4	7
United Arab Emirates	1	4	5	7	2
United Kingdom	1	4	5	7	6
United States	1	4	5	7	6
Uruguay	3	6	4	6	8
Uzbekistan	0	3	0	1	1
Venezuela	0	1	3	1	1
Zambia	3	3	0	8	9
Zimbabwe	3	3	0	8	9
