Country	Kmeans_eucl_5	Kmeans_eucl_6	Kmeans_eucl_7
Burkina Faso	0	2	3
Burundi	0	2	3
Thailand	0	2	3
Niger	0	2	3
Chad	0	2	3
Papua New Guinea	0	2	3
China	1	5	2
Yemen	0	2	3
Tunisia	1	5	2
Mongolia	0	2	3
Democratic Republic of Congo	0	2	3
Japan	1	5	2
Mali	0	2	3
Sri Lanka	0	2	3
Morocco	0	3	0
Cuba	0	2	3
Benin	0	2	3
Somalia	0	2	3
South Korea	1	5	2
Syria	2	3	0
Uruguay	0	2	0
South Sudan	0	2	3
Australia	1	5	2
Albania	2	3	0
Slovakia	1	5	2
Sierra Leone	0	2	3
Liberia	0	2	3
Mauritius	1	5	2
Nigeria	0	2	3
Malaysia	0	2	3
Sudan	0	2	3
New Zealand	1	5	2
Malawi	0	2	3
Rwanda	0	2	0
Hungary	0	2	3
Mozambique	2	3	0
Croatia	1	5	2
Zimbabwe	0	2	3
Comoros	0	2	3
Montenegro	1	5	2
Lithuania	1	5	2
Kenya	0	3	0
Angola	0	2	3
Nepal	0	3	0
Latvia	0	2	3
Madagascar	0	2	3
Slovenia	1	5	2
Bosnia and Herzegovina	2	3	0
Czechia	1	5	2
Cote d'Ivoire	0	2	3
Cameroon	0	2	3
Haiti	0	2	3
Togo	2	3	0
Senegal	0	2	3
Zambia	0	2	3
Ethiopia	0	2	3
Romania	2	3	0
Egypt	0	2	3
Saint Lucia	1	5	2
Afghanistan	0	2	3
Congo	0	2	3
Tajikistan	0	2	3
Algeria	2	3	0
Iran	2	3	0
Guinea	0	2	3
Central African Republic	0	2	3
Cyprus	1	5	2
Guinea-Bissau	0	2	3
Nicaragua	0	2	3
Moldova	2	3	6
Finland	4	0	5
Lesotho	0	2	3
Pakistan	0	2	3
Serbia	1	5	2
Estonia	1	5	2
Malta	4	0	5
Norway	1	0	5
Mauritania	0	2	3
Gambia	0	2	3
Ghana	0	2	3
Austria	1	5	2
Israel	1	5	2
Bangladesh	4	1	1
Liechtenstein	3	4	4
Germany	1	0	5
Denmark	4	0	5
Turkey	4	1	1
Uzbekistan	4	1	1
Monaco	3	4	4
Indonesia	2	3	1
France	1	5	2
Netherlands	1	0	5
Myanmar	4	1	1
Palestine	2	3	6
Canada	4	0	5
Maldives	1	5	0
Jamaica	4	1	1
Bulgaria	4	1	1
Switzerland	1	0	5
Venezuela	4	1	1
Equatorial Guinea	4	1	1
Philippines	4	1	1
Azerbaijan	4	1	1
Portugal	4	1	1
Italy	4	0	5
Mexico	2	3	6
Gabon	4	1	1
United States	2	0	5
United Kingdom	4	0	5
Sao Tome and Principe	4	1	1
Belize	2	3	6
El Salvador	4	1	1
Spain	1	5	2
Namibia	4	1	1
Belgium	4	0	5
Trinidad and Tobago	4	1	1
Ireland	3	0	5
United Arab Emirates	4	0	5
Iceland	1	5	2
Guatemala	4	1	1
Russia	4	1	1
Luxembourg	3	4	4
Eswatini	4	1	1
Djibouti	4	1	1
Guyana	4	1	1
Belarus	4	1	1
Kosovo	2	1	1
Singapore	3	0	5
India	4	1	1
North Macedonia	2	3	6
Kazakhstan	4	1	1
Kyrgyzstan	4	1	1
Peru	2	3	6
Botswana	4	1	1
Suriname	4	1	1
Honduras	4	1	1
Paraguay	2	3	6
Sweden	4	0	5
Ecuador	2	3	6
Dominican Republic	4	1	1
South Africa	4	1	1
Saudi Arabia	4	0	5
Libya	2	3	6
Bolivia	4	1	1
Greece	4	1	1
Kuwait	2	3	6
Iraq	4	1	1
Armenia	4	1	1
Colombia	2	3	6
Oman	4	1	1
Chile	4	1	1
Lebanon	2	3	6
Bahamas	4	1	1
San Marino	4	0	5
Brazil	4	1	1
Costa Rica	2	3	6
Panama	2	1	6
Cape Verde	4	1	1
Bahrain	2	3	6
Ukraine	2	3	6
Jordan	4	1	1
Argentina	4	1	1
Poland	4	1	1
Qatar	4	0	5
Georgia	4	1	1
