Country	Spectral_eucl_9	Spectral_eucl_11	Spectral_eucl_15
Afghanistan	8	3	7
Albania	6	0	1
Algeria	6	0	1
Angola	8	3	7
Argentina	2	1	0
Armenia	2	1	0
Australia	0	2	14
Austria	0	2	12
Azerbaijan	1	5	13
Bahamas	2	1	0
Bahrain	4	9	6
Bangladesh	1	5	4
Belarus	1	5	13
Belgium	7	6	10
Belize	5	4	11
Benin	8	3	8
Bolivia	1	1	13
Bosnia and Herzegovina	6	0	1
Botswana	2	7	4
Brazil	2	7	6
Bulgaria	1	5	4
Cameroon	8	3	7
Canada	7	6	10
Cape Verde	2	1	0
Central African Republic	8	3	7
Chile	2	1	0
Colombia	4	9	6
Comoros	8	3	8
Congo	8	3	7
Costa Rica	4	9	6
Cote d'Ivoire	8	3	7
Croatia	0	2	14
Cuba	8	3	8
Cyprus	0	6	5
Czechia	0	6	5
Denmark	7	6	10
Djibouti	1	5	13
Dominican Republic	2	7	4
Ecuador	4	9	6
Egypt	8	3	7
El Salvador	1	7	4
Equatorial Guinea	1	5	13
Estonia	0	6	5
Eswatini	1	5	13
Ethiopia	8	3	7
Finland	7	6	10
France	0	2	12
Gabon	1	5	13
Gambia	8	5	7
Georgia	2	1	0
Germany	7	6	5
Ghana	8	5	7
Greece	2	7	4
Guatemala	1	7	4
Guinea	8	3	7
Guinea-Bissau	8	3	7
Guyana	2	7	4
Haiti	8	3	7
Honduras	2	7	4
Hungary	8	3	8
Iceland	0	2	12
India	1	5	13
Indonesia	1	7	4
Iran	6	0	1
Iraq	2	1	0
Ireland	7	10	2
Israel	0	6	5
Italy	7	6	10
Jamaica	1	7	4
Jordan	2	1	0
Kazakhstan	1	5	13
Kenya	6	0	1
Kosovo	2	7	4
Kuwait	4	9	6
Kyrgyzstan	1	5	13
Latvia	8	3	8
Lebanon	5	4	11
Lesotho	8	3	7
Liberia	8	3	8
Libya	4	9	6
Liechtenstein	3	8	9
Lithuania	0	2	14
Luxembourg	3	8	9
Madagascar	8	3	7
Malawi	8	3	8
Malaysia	8	3	8
Maldives	0	6	3
Malta	7	6	10
Mauritania	8	5	7
Mauritius	0	2	14
Mexico	4	9	6
Moldova	5	4	11
Monaco	3	8	9
Montenegro	0	2	14
Morocco	6	0	1
Mozambique	6	0	1
Myanmar	1	5	7
Namibia	1	5	13
Nepal	6	0	1
Netherlands	7	6	5
New Zealand	0	2	14
Nicaragua	8	3	7
Nigeria	8	3	8
North Macedonia	4	9	6
Norway	7	6	5
Oman	2	1	0
Pakistan	8	3	7
Palestine	5	4	11
Panama	4	9	6
Paraguay	4	9	6
Peru	4	9	6
Philippines	1	5	4
Poland	2	1	0
Portugal	1	7	4
Qatar	7	10	2
Romania	6	0	1
Russia	2	7	4
Rwanda	6	0	1
Saint Lucia	0	2	3
San Marino	7	10	2
Sao Tome and Principe	1	5	13
Saudi Arabia	7	1	0
Senegal	8	3	7
Serbia	0	2	3
Sierra Leone	8	3	8
Singapore	7	10	2
Slovakia	4	9	6
Slovenia	0	2	5
Somalia	8	3	8
South Africa	1	5	13
South Korea	0	2	14
South Sudan	8	3	8
Spain	0	2	12
Sudan	8	3	8
Suriname	1	5	13
Sweden	7	1	10
Switzerland	7	6	5
Syria	6	0	1
Tajikistan	8	3	7
Togo	6	0	1
Trinidad and Tobago	1	5	13
Turkey	1	5	4
Ukraine	4	9	6
United Arab Emirates	7	10	10
United Kingdom	7	6	10
United States	7	10	10
Uruguay	6	0	8
Uzbekistan	1	5	7
Venezuela	1	5	4
Zambia	8	3	7
Zimbabwe	8	3	8
